 coating x n_core k_core n_shell k_shell lambda
10003911 0.050 15.305 1.466 0.042 1.567 0.045 3900.000
10004202 0.050 2.618 1.469 0.044 1.570 0.030 240.000
10004320 0.050 12.566 1.486 0.058 1.589 0.030 100.000
10008973 0.050 119.680 1.488 0.052 1.574 0.030 210.000
10012855 0.050 4.654 1.364 0.029 1.556 0.050 5400.000
10016836 0.050 0.785 1.825 0.375 1.600 0.117 40000.000
10022321 0.050 19.842 1.445 0.013 1.562 0.030 950.000
1002468 0.000 1.100 1.488 0.531 1.564 0.187 20000.000
10027261 0.050 4.189 1.477 0.019 1.582 0.030 150.000
10037451 0.050 3.142 1.460 0.026 1.471 0.016 2000.000
10040251 0.050 10.927 1.413 0.017 1.483 0.079 4600.000
10040653 0.050 2.094 1.482 0.085 1.550 0.015 150.000
1004413 0.000 45.696 1.451 0.016 1.505 0.022 550.000
10044572 0.050 1.047 1.450 0.017 1.496 0.015 600.000
10045006 0.050 4.712 1.450 0.017 1.496 0.015 600.000
10045266 0.050 3.142 1.436 0.026 1.492 0.081 4000.000
10047577 0.050 4.620 1.331 0.071 1.441 0.091 6800.000
10048662 0.050 3.770 1.465 0.021 1.497 0.015 500.000
10053908 0.050 4.145 1.649 0.618 1.717 0.139 14400.000
10060318 0.050 5.027 1.474 0.021 1.497 0.015 500.000
10069048 0.050 502.655 1.485 0.048 1.562 0.015 100.000
10074407 0.050 6.896 1.444 0.029 1.491 0.081 4100.000
10081147 0.050 2.693 1.419 0.003 1.509 0.015 350.000
100835 0.000 6.283 1.385 0.006 1.316 0.001 2000.000
10089665 0.050 4.781 1.395 0.006 1.483 0.079 4600.000
10089710 0.050 35.904 1.399 0.000 1.495 0.015 700.000
10099643 0.050 9.610 1.419 0.018 1.421 0.133 4250.000
10104283 0.050 1.478 1.435 0.016 1.436 0.000 850.000
10108693 0.050 3.065 1.435 0.026 1.424 0.135 4100.000
10113264 0.050 125.664 1.472 0.023 1.451 0.000 400.000
10116994 0.050 48.869 1.423 0.012 1.435 0.000 900.000
10126900 0.050 248.709 1.467 0.037 1.500 0.000 240.000
10130549 0.050 0.589 1.767 0.170 1.970 0.686 80000.000
10131487 0.050 12.293 1.467 0.033 1.503 0.000 230.000
10135901 0.050 37.699 1.486 0.020 1.439 0.000 750.000
10137352 0.050 0.524 1.396 0.058 1.463 0.186 6000.000
10139338 0.050 0.911 1.359 0.033 1.308 0.137 6900.000
10142705 0.050 8.378 1.477 0.019 1.529 0.000 150.000
1014406 0.000 14.661 1.480 0.034 1.520 0.131 3000.000
10144882 0.050 8.378 1.494 0.020 1.481 0.000 300.000
10152830 0.050 10.472 1.457 0.023 1.591 0.033 900.000
10156306 0.050 0.628 1.460 0.075 1.595 0.060 3000.000
10161390 0.050 17.802 1.462 0.061 1.595 0.060 3000.000
10165954 0.050 21.991 1.486 0.077 1.604 0.033 100.000
10167346 0.050 14.960 1.432 0.025 1.593 0.046 4200.000
10176957 0.050 14.784 1.460 0.040 1.592 0.046 4250.000
10193818 0.050 10.210 1.484 0.052 1.593 0.045 4000.000
10196346 0.050 0.628 1.410 0.002 1.591 0.033 500.000
10198339 0.050 0.661 1.490 0.020 1.591 0.033 950.000
10199994 0.050 314.159 1.490 0.028 1.598 0.033 200.000
10200751 0.050 4.833 1.447 0.011 1.591 0.033 650.000
10206392 0.050 4.189 1.451 0.019 1.516 0.017 600.000
10208807 0.050 48.869 1.450 0.021 1.519 0.017 450.000
10211422 0.050 56.549 1.458 0.023 1.512 0.017 1000.000
10214338 0.050 3.142 1.460 0.075 1.446 0.083 3000.000
10219104 0.050 80.784 1.451 0.020 1.515 0.017 700.000
10219406 0.050 1.047 1.449 0.025 1.537 0.017 300.000
1022056 0.000 4.538 1.348 0.268 1.477 0.046 9000.000
10222052 0.050 0.654 1.692 0.671 1.765 0.131 14400.000
10222069 0.050 54.636 1.483 0.066 1.549 0.017 230.000
10223931 0.050 37.699 1.470 0.053 1.546 0.017 250.000
10229444 0.050 12.566 1.479 0.068 1.555 0.017 200.000
10231011 0.050 0.739 1.423 0.011 1.514 0.017 850.000
10232132 0.050 11.519 1.465 0.107 1.446 0.083 3000.000
